Trial,num_turns,num_R,num_L,LLLL,LLLR,LLRL,LLRR,LRLL,LRLR,LRRL,LRRR,RLLL,RLLR,RLRL,RLRR,RRLL,RRLR,RRRL,RRRR,alternations,repetitions,Animal_Number,Group,anxiety_group
3,108,49,59,10.94,4.69,7.81,7.81,7.81,4.69,9.38,4.69,7.81,7.81,3.12,4.69,6.25,4.69,4.69,3.12,7.81,14.06,32,CAS,Low Anxiety
4,117,59,58,0,3.92,5.88,9.8,5.88,5.88,3.92,13.73,5.88,9.8,7.84,5.88,7.84,1.96,7.84,3.92,13.73,3.92,32,CAS,Low Anxiety
5,64,31,33,6.67,13.33,6.67,6.67,6.67,6.67,6.67,6.67,13.33,0,0,6.67,6.67,6.67,6.67,0,6.67,6.67,32,CAS,Low Anxiety
6,43,21,22,0,0,18.18,0,27.27,9.09,0,0,0,27.27,9.09,0,0,9.09,0,0,18.18,0,32,CAS,Low Anxiety
1,80,39,41,2.74,4.11,6.85,4.11,9.59,15.07,5.48,2.74,4.11,6.85,17.81,5.48,2.74,5.48,2.74,4.11,32.88,6.85,34,CAS,High Anxiety
2,73,31,42,4.84,4.84,12.9,3.23,12.9,11.29,3.23,3.23,4.84,11.29,14.52,3.23,1.61,4.84,3.23,0,25.81,4.84,34,CAS,High Anxiety
3,103,45,58,5.95,5.95,5.95,2.38,7.14,28.57,3.57,0,5.95,2.38,26.19,2.38,1.19,2.38,0,0,54.76,5.95,34,CAS,High Anxiety
4,97,48,49,0,1.59,1.59,3.17,3.17,26.98,6.35,1.59,4.76,4.76,31.75,1.59,6.35,3.17,1.59,1.59,58.73,1.59,34,CAS,High Anxiety
5,118,53,65,7.81,4.69,1.56,6.25,3.12,14.06,14.06,0,6.25,3.12,14.06,9.38,9.38,6.25,0,0,28.12,7.81,34,CAS,High Anxiety
6,113,42,71,8.2,6.56,3.28,4.92,11.48,18.03,6.56,0,6.56,3.28,22.95,3.28,0,4.92,0,0,40.98,8.2,34,CAS,High Anxiety
1,102,52,50,4.23,1.41,2.82,5.63,4.23,19.72,5.63,4.23,1.41,5.63,22.54,4.23,2.82,7.04,4.23,4.23,42.25,8.45,36,CAS,High Anxiety
2,93,39,54,3.33,5,5,3.33,8.33,28.33,3.33,0,5,3.33,30,1.67,1.67,1.67,0,0,58.33,3.33,36,CAS,High Anxiety
